"Date","Product_Category","Product_Name","Product_Cost","Product_Price","Items_Sold"
"2018-01-01","Art & Crafts","Barrel O' Slime",1.99,3.99,281
"2018-01-01","Art & Crafts","Etch A Sketch",10.99,20.99,42
"2018-01-01","Art & Crafts","Kids Makeup Kit",13.99,19.99,39
"2018-01-01","Art & Crafts","Magic Sand",13.99,15.99,128
"2018-01-01","Art & Crafts","PlayDoh Can",1.99,2.99,145
"2018-01-01","Art & Crafts","PlayDoh Playset",20.99,24.99,32
"2018-01-01","Art & Crafts","PlayDoh Toolkit",3.99,4.99,18
"2018-01-01","Electronics","Colorbuds",6.99,14.99,78
"2018-01-01","Electronics","Gamer Headphones",14.99,20.99,51
"2018-01-01","Electronics","Toy Robot",20.99,25.99,18
"2018-01-01","Games","Chutes & Ladders",9.99,12.99,8
"2018-01-01","Games","Classic Dominoes",7.99,9.99,22
"2018-01-01","Games","Deck Of Cards",3.99,6.99,202
"2018-01-01","Games","Glass Marbles",5.99,10.99,27
"2018-01-01","Games","Jenga",2.99,9.99,53
"2018-01-01","Games","Monopoly",13.99,19.99,15
"2018-01-01","Games","Rubik's Cube",17.99,19.99,54
"2018-01-01","Games","Uno Card Game",3.99,7.99,19
"2018-01-01","Sports & Outdoors","Dart Gun",11.99,15.99,98
"2018-01-01","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,53
"2018-01-01","Sports & Outdoors","Nerf Gun",14.99,19.99,57
"2018-01-01","Sports & Outdoors","Splash Balls",7.99,8.99,28
"2018-01-01","Sports & Outdoors","Supersoaker Water Gun",11.99,14.99,23
"2018-01-01","Toys","Action Figure",9.99,15.99,88
"2018-01-01","Toys","Animal Figures",9.99,12.99,38
"2018-01-01","Toys","Dinosaur Figures",10.99,14.99,110
"2018-01-01","Toys","Hot Wheels 5-Pack",3.99,5.99,24
"2018-01-01","Toys","Lego Bricks",34.99,39.99,167
"2018-01-01","Toys","Mr. Potatohead",4.99,9.99,38
"2018-01-01","Toys","Plush Pony",8.99,19.99,22
"2018-01-01","Toys","Teddy Bear",10.99,12.99,13
"2018-01-02","Art & Crafts","Barrel O' Slime",1.99,3.99,78
"2018-01-02","Art & Crafts","Etch A Sketch",10.99,20.99,39
"2018-01-02","Art & Crafts","Kids Makeup Kit",13.99,19.99,37
"2018-01-02","Art & Crafts","Magic Sand",13.99,15.99,93
"2018-01-02","Art & Crafts","PlayDoh Can",1.99,2.99,197
"2018-01-02","Art & Crafts","PlayDoh Toolkit",3.99,4.99,26
"2018-01-02","Electronics","Colorbuds",6.99,14.99,81
"2018-01-02","Electronics","Gamer Headphones",14.99,20.99,74
"2018-01-02","Electronics","Toy Robot",20.99,25.99,12
"2018-01-02","Games","Chutes & Ladders",9.99,12.99,18
"2018-01-02","Games","Deck Of Cards",3.99,6.99,212
"2018-01-02","Games","Glass Marbles",5.99,10.99,116
"2018-01-02","Games","Jenga",2.99,9.99,48
"2018-01-02","Games","Monopoly",13.99,19.99,26
"2018-01-02","Games","Rubik's Cube",17.99,19.99,77
"2018-01-02","Games","Uno Card Game",3.99,7.99,22
"2018-01-02","Sports & Outdoors","Dart Gun",11.99,15.99,56
"2018-01-02","Sports & Outdoors","Mini Basketball Hoop",8.99,24.99,27
"2018-01-02","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,60
"2018-01-02","Sports & Outdoors","Nerf Gun",14.99,19.99,141
"2018-01-02","Sports & Outdoors","Splash Balls",7.99,8.99,89
"2018-01-02","Toys","Action Figure",9.99,15.99,74
"2018-01-02","Toys","Animal Figures",9.99,12.99,67
"2018-01-02","Toys","Dino Egg",9.99,10.99,5
"2018-01-02","Toys","Dinosaur Figures",10.99,14.99,90
"2018-01-02","Toys","Hot Wheels 5-Pack",3.99,5.99,50
"2018-01-02","Toys","Lego Bricks",34.99,39.99,37
"2018-01-02","Toys","Mr. Potatohead",4.99,9.99,14
"2018-01-03","Art & Crafts","Barrel O' Slime",1.99,3.99,78
"2018-01-03","Art & Crafts","Kids Makeup Kit",13.99,19.99,18
"2018-01-03","Art & Crafts","Magic Sand",13.99,15.99,86
"2018-01-03","Art & Crafts","PlayDoh Can",1.99,2.99,133
"2018-01-03","Art & Crafts","PlayDoh Toolkit",3.99,4.99,40
"2018-01-03","Electronics","Colorbuds",6.99,14.99,116
"2018-01-03","Electronics","Gamer Headphones",14.99,20.99,18
"2018-01-03","Electronics","Toy Robot",20.99,25.99,38
"2018-01-03","Games","Chutes & Ladders",9.99,12.99,19
"2018-01-03","Games","Classic Dominoes",7.99,9.99,37
"2018-01-03","Games","Deck Of Cards",3.99,6.99,228
"2018-01-03","Games","Glass Marbles",5.99,10.99,66
"2018-01-03","Games","Jenga",2.99,9.99,32
"2018-01-03","Games","Monopoly",13.99,19.99,7
"2018-01-03","Games","Rubik's Cube",17.99,19.99,116
"2018-01-03","Sports & Outdoors","Dart Gun",11.99,15.99,58
"2018-01-03","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,59
"2018-01-03","Sports & Outdoors","Nerf Gun",14.99,19.99,61
"2018-01-03","Sports & Outdoors","Splash Balls",7.99,8.99,67
"2018-01-03","Toys","Action Figure",9.99,15.99,117
"2018-01-03","Toys","Animal Figures",9.99,12.99,16
"2018-01-03","Toys","Dinosaur Figures",10.99,14.99,60
"2018-01-03","Toys","Lego Bricks",34.99,39.99,36
"2018-01-03","Toys","Mr. Potatohead",4.99,9.99,32
